rank,title,Previous Rank,Revenues (USDM),Revenue Change,Profits (USDM),Profit Change,Assets (USDM),Mkt Value as of 3/29/18 (USDM),Employees,CEO,CEO Title,Sector,Industry,Years on Fortune 500 List,City,State,Latitude,Longitude
22,Alphabet,27,"USD110,855 ",22.80%,"USD12,662.00 ",-35.00%,"USD197,295 ","USD719,124 ","80,110",Larry Page,Chief Executive Officer &amp;  Director,Technology,Internet Services and Retailing,13,Mountain View,CA,37.3860517,-122.0838511
23,Home Depot,23,"USD100,904 ",6.70%,"USD8,630.00 ",8.50%,"USD44,529 ","USD206,272 ","413,000",Craig A. Menear,"Chairman, President &amp;  Chief Executive Officer",Retailing,Specialty Retailers: Other,24,Atlanta,GA,33.7489954,-84.3879824
24,Bank of America Corp.,26,"USD100,264 ",7.00%,"USD18,232.00 ",1.80%,"USD2,281,234 ","USD306,618 ","209,376",Brian T. Moynihan,"Chairman, President &amp;  Chief Executive Officer",Financials,Commercial Banks,24,Charlotte,NC,35.2270869,-80.8431267
25,Express Scripts Holding,22,"USD100,065 ",-0.20%,"USD4,517.40 ",32.70%,"USD54,256 ","USD38,791 ","26,600",Timothy C. Wentworth,"President, Chief Executive Officer &amp;  Director",Health Care,Health Care: Pharmacy and Other Services,19,St. Louis,MO,38.6270025,-90.1994042
26,Wells Fargo,25,"USD97,741 ",3.80%,"USD22,183.00 ",1.10%,"USD1,951,757 ","USD255,556 ","262,700",Timothy J. Sloan,"President, Chief Executive Officer &amp;  Director",Financials,Commercial Banks,24,SF,CA,37.7749295,-122.4194155
27,Boeing,24,"USD93,392 ",-1.20%,"USD8,197.00 ",67.50%,"USD92,333 ","USD192,539 ","140,800",Dennis A. Muilenburg,"Chairman, President &amp;  Chief Executive Officer",Aerospace &amp;  Defense,Aerospace and Defense,24,Chicago,IL,41.8781136,-87.6297982
28,Phillips 66,34,"USD91,568 ",26.50%,"USD5,106.00 ",228.40%,"USD54,371 ","USD44,730 ","14,600",Greg C. Garland,Chairman &amp;  Chief Executive Officer,Energy,Petroleum Refining,6,Houston,TX,29.7604267,-95.3698028
29,Anthem,29,"USD90,040 ",6.10%,"USD3,842.80 ",55.60%,"USD70,540 ","USD56,182 ","56,000",Gail K. Boudreaux,"President, Chief Executive Officer &amp;  Director",Health Care,Health Care: Insurance and Managed Care,24,Indianapolis,IN,39.768403,-86.158068
30,Microsoft,28,"USD89,950 ",5.40%,"USD21,204.00 ",26.20%,"USD241,086 ","USD702,760 ","124,000",Satya Nadella,Chief Executive Officer &amp;  Director,Technology,Computer Software,24,Redmond,WA,47.6739881,-122.121512
31,Valero Energy,37,"USD88,407 ",26.00%,"USD4,065.00 ",77.60%,"USD50,158 ","USD39,977 ","10,015",Joseph W. Gorder,"Chairman, President &amp;  Chief Executive Officer",Energy,Petroleum Refining,20,San Antonio,TX,29.4241219,-98.4936282
32,Citigroup,30,"USD87,966 ",6.80%,"(USD6,798.00)",-145.60%,"USD1,842,465 ","USD172,822 ","209,000",Michael L. Corbat,Chairman &amp;  Chief Executive Officer,Financials,Commercial Banks,24,New York,NY,40.7127753,-74.0059728
33,Comcast,31,"USD84,526 ",5.10%,"USD22,714.00 ",161.20%,"USD186,949 ","USD158,703 ","164,000",Brian L. Roberts,"Chairman, President &amp;  Chief Executive Officer",Telecommunications,Telecommunications,23,Philadelphia,PA,39.9525839,-75.1652215
34,IBM,32,"USD79,139 ",-1.00%,"USD5,753.00 ",-51.50%,"USD125,356 ","USD141,335 ","397,800",Virginia M. Rometty,"Chairman, President &amp;  Chief Executive Officer",Technology,Information Technology Services,24,Armonk,NY,41.1264849,-73.7140195
35,Dell Technologies,41,"USD78,660 ",21.40%,"(USD3,728.00)",-,"USD122,281 ",-,"145,000",Michael S. Dell,Chairman &amp;  Chief Executive Officer,Technology,"Computers, Office Equipment",21,Round Rock,TX,30.5082551,-97.678896
36,State Farm Insurance Cos.,33,"USD78,331 ",2.90%,"USD2,206.50 ",529.90%,"USD272,345 ",-,"65,664",Michael L. Tipsord,"Chairman, President &amp;  Chief Executive Officer",Financials,Insurance: Property and Casualty (Mutual),24,Bloomington,IL,40.4842027,-88.9936873
37,Johnson &amp; Johnson,35,"USD76,450 ",6.30%,"USD1,300.00 ",-92.10%,"USD157,303 ","USD343,780 ","134,000",Alex Gorsky,Chairman &amp;  Chief Executive Officer,Health Care,Pharmaceuticals,24,New Brunswick,NJ,40.4862157,-74.4518188
38,Freddie Mac,39,"USD74,676 ",13.70%,"USD5,625.00 ",-28.00%,"USD2,049,776 ",USD878 ,"6,165",Donald H. Layton,Chairman &amp;  Chief Executive Officer,Financials,Diversified Financials,21,McLean,VA,38.9338676,-77.1772604
39,Target,38,"USD71,879 ",3.40%,"USD2,934.00 ",7.20%,"USD38,999 ","USD37,409 ","345,000",Brian C. Cornell,Chairman &amp;  Chief Executive Officer,Retailing,General Merchandisers,24,Minneapolis,MN,44.977753,-93.2650108
40,Lowes,40,"USD68,619 ",5.50%,"USD3,447.00 ",11.40%,"USD35,291 ","USD72,812 ","255,000",Robert A. Niblock,"Chairman, President &amp;  Chief Executive Officer",Retailing,Specialty Retailers: Other,24,Mooresville,NC,35.5848596,-80.8100724
41,Marathon Petroleum,51,"USD67,610 ",21.00%,"USD3,432.00 ",192.30%,"USD49,047 ","USD34,683 ","43,800",Gary R. Heminger,Chairman &amp;  Chief Executive Officer,Energy,Petroleum Refining,7,Findlay,OH,41.04422,-83.6499321
42,Procter &amp; Gamble,36,"USD66,217 ",-7.70%,"USD15,326.00 ",45.90%,"USD120,406 ","USD199,865 ","95,000",David S. Taylor,"Chairman, President &amp;  Chief Executive Officer",Household Products,Household and Personal Products,24,Cincinnati,OH,39.1031182,-84.5120196
43,MetLife,42,"USD66,153 ",4.20%,"USD4,010.00 ",401.30%,"USD719,892 ","USD47,572 ","49,000",Steven A. Kandarian,"Chairman, President &amp;  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",24,New York,NY,40.7127753,-74.0059728
44,UPS,46,"USD65,872 ",8.20%,"USD4,910.00 ",43.10%,"USD45,403 ","USD90,156 ","346,415",David P. Abney,Chairman &amp;  Chief Executive Officer,Transportation,"Mail, Package, and Freight Delivery",24,Atlanta,GA,33.7489954,-84.3879824
45,PepsiCo,44,"USD63,525 ",1.20%,"USD4,857.00 ",-23.30%,"USD79,804 ","USD154,933 ","263,000",Indra K. Nooyi,Chairman &amp;  Chief Executive Officer,"Food, Beverages &amp;  Tobacco",Food Consumer Products,24,Harrison,NY,41.0400135,-73.7144477
46,Intel,47,"USD62,761 ",5.70%,"USD9,601.00 ",-6.90%,"USD123,249 ","USD243,109 ","102,700",Robert H. Swan,Chairman &amp;  Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,24,Santa Clara,CA,37.3541079,-121.9552356
47,DowDuPont,62,"USD62,683 ",30.20%,"USD1,460.00 ",-66.20%,"USD192,164 ","USD148,186 ",98000,Edward D. Breen,Chief Executive Officer,Chemicals,Chemicals,24,Midland,Michigan,43.623574,-84.232105
48,Archer Daniels Midland,45,"USD60,828 ",-2.40%,"USD1,595.00 ",24.70%,"USD39,963 ","USD24,238 ","31,300",Juan R. Luciano,"Chairman, President &amp;  Chief Executive Officer","Food, Beverages &amp;  Tobacco",Food Production,24,Chicago,IL,41.8781136,-87.6297982
49,Aetna,43,"USD60,535 ",-4.10%,"USD1,904.00 ",-16.20%,"USD55,151 ","USD55,229 ","47,950",Mark T. Bertolini,Chairman &amp;  Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,18,Hartford,CT,41.7658043,-72.6733723
50,FedEx,58,"USD60,319 ",19.80%,"USD2,997.00 ",64.70%,"USD48,552 ","USD64,161 ","357,000",Frederick W. Smith,Chairman &amp;  Chief Executive Officer,Transportation,"Mail, Package, and Freight Delivery",24,Memphis,TN,35.1495343,-90.0489801
51,United Technologies,50,"USD59,837 ",4.50%,"USD4,552.00 ",-10.00%,"USD96,920 ","USD100,667 ","204,700",Gregory J. Hayes,"Chairman, President &amp;  Chief Executive Officer",Aerospace &amp;  Defense,Aerospace and Defense,24,Farmington,CT,41.7360305,-72.795027
52,Prudential Financial,48,"USD59,689 ",1.50%,"USD7,863.00 ",80.00%,"USD831,921 ","USD43,686 ","49,705",John R. Strangfeld,"Chairman, President &amp;  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",24,Newark,NJ,40.735657,-74.1723667
53,Albertsons Cos.,49,"USD59,678 ",1.60%,(USD373.30),-,"USD23,755 ",-,"273,000",Robert G. Miller,Chairman &amp;  Chief Executive Officer,Food &amp;  Drug Stores,Food and Drug Stores,14,Boise,ID,43.6150186,-116.2023137
54,Sysco,57,"USD55,371 ",9.90%,"USD1,142.50 ",20.30%,"USD17,757 ","USD31,294 ","66,500",Thomas L. Ben�,"President, Chief Executive Officer &amp;  Director",Wholesalers,Wholesalers: Food and Grocery,24,Houston,TX,29.7604267,-95.3698028
55,Disney,52,"USD55,137 ",-0.90%,"USD8,980.00 ",-4.40%,"USD95,789 ","USD151,029 ","199,000",Robert A. Iger,Chairman &amp;  Chief Executive Officer,Media,Entertainment,24,Burbank,CA,34.1808392,-118.3089661
56,Humana,53,"USD53,767 ",-1.10%,"USD2,448.00 ",298.70%,"USD27,178 ","USD37,122 ","45,900",Bruce D. Broussard,"President, Chief Executive Officer &amp;  Director",Health Care,Health Care: Insurance and Managed Care,24,Louisville,KY,38.2526647,-85.7584557
57,Pfizer,54,"USD52,546 ",-0.50%,"USD21,308.00 ",195.30%,"USD171,797 ","USD211,115 ","90,200",Ian C. Read,Chairman &amp;  Chief Executive Officer,Health Care,Pharmaceuticals,24,New York,NY,40.7127753,-74.0059728
58,HP,61,"USD52,056 ",7.90%,"USD2,526.00 ",1.20%,"USD32,913 ","USD35,893 ","49,000",Dion J. Weisler,"President, Chief Executive Officer &amp;  Director",Technology,"Computers, Office Equipment",24,Palo Alto,CA,37.4418834,-122.1430195
59,Lockheed Martin,56,"USD51,048 ",0.80%,"USD2,002.00 ",-62.20%,"USD46,521 ","USD96,589 ","100,000",Marillyn A. Hewson,"Chairman, President &amp;  Chief Executive Officer",Aerospace &amp;  Defense,Aerospace and Defense,24,Bethesda,MD,38.984652,-77.0947092
60,AIG,55,"USD49,520 ",-5.40%,"(USD6,084.00)",-,"USD498,301 ","USD49,145 ","49,800",Brian Duperreault,"President, Chief Executive Officer &amp;  Director",Financials,Insurance: Property and Casualty (Stock),24,New York,NY,40.7127753,-74.0059728
61,Centene,66,"USD48,572 ",19.30%,USD828.00 ,47.30%,"USD21,855 ","USD18,704 ","33,700",Michael F. Neidorff,Chairman &amp;  Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,9,St. Louis,MO,38.6270025,-90.1994042
62,Cisco Systems,60,"USD48,005 ",-2.50%,"USD9,609.00 ",-10.50%,"USD129,818 ","USD206,623 ","72,900",Charles H. Robbins,Chairman &amp;  Chief Executive Officer,Technology,Network and Other Communications Equipment,22,San Jose,CA,37.3382082,-121.8863286
63,HCA Healthcare,63,"USD47,653 ",6.50%,"USD2,216.00 ",-23.30%,"USD36,593 ","USD34,165 ",221491,R. Milton Johnson,Chairman &amp;  Chief Executive Officer,Health Care,Health Care: Medical Facilities,24,Nashville,TN,36.1626638,-86.7816016
64,Energy Transfer Equity,79,"USD47,487 ",26.60%,USD954.00 ,-4.10%,"USD86,246 ","USD15,335 ","29,486",John W. McReynolds,President &amp;  Director,Energy,Pipelines,12,Dallas,TX,32.7766642,-96.7969879
65,Caterpillar,74,"USD45,462 ",18.00%,USD754.00 ,-,"USD76,962 ","USD88,078 ","98,400",D. James Umpleby III,Chairman &amp;  Chief Executive Officer,Industrials,Construction and Farm Machinery,24,Deerfield,IL,42.1711365,-87.8445119
66,Nationwide,68,"USD43,940 ",9.60%,USD246.50 ,-26.20%,"USD221,257 ",-,"33,135",Stephen S. Rasmussen,Chief Executive Officer,Financials,Insurance: Property and Casualty (Mutual),24,Columbus,OH,39.9611755,-82.9987942
67,Morgan Stanley,76,"USD43,642 ",15.00%,"USD6,111.00 ",2.20%,"USD851,733 ","USD96,688 ","57,633",James P. Gorman,Chairman &amp;  Chief Executive Officer,Financials,Commercial Banks,24,New York,NY,40.7127753,-74.0059728
68,Liberty Mutual Insurance Group,75,"USD42,687 ",11.40%,USD17.00 ,-98.30%,"USD142,502 ",-,"50,000",David H. Long,"Chairman, President &amp;  Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),24,Boston,MA,42.3600825,-71.0588801
69,New York Life Insurance,65,"USD42,296 ",3.70%,"USD1,866.90 ",71.60%,"USD303,183 ",-,"11,114",Theodore A. Mathas,Chairman &amp;  Chief Executive Officer,Financials,"Insurance: Life, Health (Mutual)",24,New York,NY,40.7127753,-74.0059728
70,Goldman Sachs Group,78,"USD42,254 ",12.00%,"USD4,286.00 ",-42.10%,"USD916,776 ","USD95,463 ","36,600",Lloyd C. Blankfein,Chairman &amp;  Chief Executive Officer,Financials,Commercial Banks,19,New York,NY,40.7127753,-74.0059728
71,American Airlines Group,67,"USD42,207 ",5.00%,"USD1,919.00 ",-28.30%,"USD51,396 ","USD24,584 ","126,600",W. Douglas Parker,Chairman &amp;  Chief Executive Officer,Transportation,Airlines,24,Fort Worth,TX,32.7554883,-97.3307658
72,Best Buy,72,"USD42,151 ",7.00%,"USD1,000.00 ",-18.60%,"USD13,049 ","USD20,460 ","125,000",Hubert B. Joly,Chairman &amp;  Chief Executive Officer,Retailing,Specialty Retailers: Other,24,Richfield,MN,44.8832982,-93.2830021
73,Cigna,70,"USD41,616 ",4.90%,"USD2,237.00 ",19.80%,"USD61,753 ","USD40,735 ","46,000",David M. Cordani,"President, Chief Executive Officer &amp;  Director",Health Care,Health Care: Insurance and Managed Care,24,Bloomfield,CT,41.826488,-72.7300945
74,Charter Communications,96,"USD41,581 ",43.40%,"USD9,895.00 ",180.90%,"USD146,623 ","USD80,954 ","94,800",Thomas M. Rutledge,Chairman &amp;  Chief Executive Officer,Telecommunications,Telecommunications,18,Stamford,CT,41.0534302,-73.5387341
75,Delta Air Lines,71,"USD41,244 ",4.00%,"USD3,577.00 ",-18.20%,"USD53,292 ","USD38,746 ","86,564",Edward H. Bastian,Chairman &amp;  Chief Executive Officer,Transportation,Airlines,24,Atlanta,GA,33.7489954,-84.3879824
76,Facebook,98,"USD40,653 ",47.10%,"USD15,934.00 ",56.00%,"USD84,524 ","USD464,190 ","25,105",Mark Zuckerberg,Chairman &amp;  Chief Executive Officer,Technology,Internet Services and Retailing,6,Menlo Park,CA,37.4529598,-122.1817252
77,Honeywell International,73,"USD40,534 ",3.10%,"USD1,655.00 ",-65.60%,"USD59,387 ","USD108,149 ","131,000",Darius Adamczyk,"President, Chief Executive Officer &amp;  Director",Industrials,"Electronics, Electrical Equip.",24,Morris Plains,NJ,40.8395922,-74.4818698
78,Merck,69,"USD40,122 ",0.80%,"USD2,394.00 ",-38.90%,"USD87,872 ","USD146,862 ","69,000",Kenneth C. Frazier,"Chairman, President &amp;  Chief Executive Officer",Health Care,Pharmaceuticals,24,Kenilworth,NJ,40.6764911,-74.2907032
79,Allstate,84,"USD38,524 ",5.40%,"USD3,189.00 ",69.90%,"USD112,422 ","USD33,478 ","42,680",Thomas J. Wilson,"Chairman, President &amp;  Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),23,Northbrook,IL,42.1275267,-87.8289548
80,Tyson Foods,82,"USD38,260 ",3.70%,"USD1,774.00 ",0.30%,"USD28,066 ","USD29,233 ","122,000",Thomas P. Hayes,"President, Chief Executive Officer &amp;  Director","Food, Beverages &amp;  Tobacco",Food Production,24,Springdale,AR,36.1867442,-94.1288141
81,United Continental Holdings,83,"USD37,736 ",3.20%,"USD2,131.00 ",-5.80%,"USD42,326 ","USD19,778 ","89,800",Oscar Munoz,Chairman &amp;  Chief Executive Officer,Transportation,Airlines,24,Chicago,IL,41.8781136,-87.6297982
82,Oracle,81,"USD37,728 ",1.80%,"USD9,335.00 ",4.90%,"USD134,991 ","USD186,766 ","138,000",Safra A. Catz/Mark V. Hurd,Co-Chief Executive Officer &amp;  Director,Technology,Computer Software,23,Redwood City,CA,37.4852152,-122.2363548
83,Tech Data,107,"USD36,775 ",40.20%,USD116.60 ,-40.20%,"USD12,653 ","USD3,249 ","14,000",Richard T. Hume,Chairman &amp;  Chief Executive Officer,Wholesalers,Wholesalers: Electronics and Office Equipment,24,Clearwater,FL,27.9658533,-82.8001026
84,TIAA,80,"USD36,025 ",-2.90%,"USD1,049.70 ",-29.70%,"USD583,632 ",-,"16,829",Roger W. Ferguson Jr.,"President, Chief Executive Officer &amp;  Director",Financials,"Insurance: Life, Health (Mutual)",21,New York,NY,40.7127753,-74.0059728
85,TJX,87,"USD35,865 ",8.10%,"USD2,607.90 ",13.50%,"USD14,058 ","USD51,571 ","249,000",Ernie L. Herrman,"President, Chief Executive Officer &amp;  Director",Retailing,Specialty Retailers: Apparel,24,Framingham,MA,42.279286,-71.4161565
86,American Express,86,"USD35,583 ",5.20%,"USD2,736.00 ",-49.40%,"USD181,159 ","USD80,234 ","55,000",Stephen J. Squeri,Chairman &amp;  Chief Executive Officer,Financials,Diversified Financials,24,New York,NY,40.7127753,-74.0059728
87,Coca-Cola,64,"USD35,410 ",-15.40%,"USD1,248.00 ",-80.90%,"USD87,896 ","USD185,207 ","61,800",James R. Quincey,"President, Chief Executive Officer &amp;  Director","Food, Beverages &amp;  Tobacco",Beverages,24,Atlanta,GA,33.7489954,-84.3879824
88,Publix Super Markets,85,"USD34,837 ",1.60%,"USD2,291.90 ",13.10%,"USD18,184 ",-,"193,000",Randall T. Jones Sr.,"President, Chief Executive Officer &amp;  Director",Food &amp;  Drug Stores,Food and Drug Stores,24,Lakeland,FL,28.0394654,-81.9498042
89,Nike,88,"USD34,350 ",6.10%,"USD4,240.00 ",12.80%,"USD23,259 ","USD108,094 ","74,400",Mark G. Parker,"Chairman, President &amp;  Chief Executive Officer",Apparel,Apparel,24,Beaverton,OR,45.4887993,-122.8013332
90,Andeavor,117,"USD34,204 ",42.50%,"USD1,528 ",108.20%,"USD28,573 ","USD15,386 ",14300,Gregory J. Goff,"Chairman, President &amp;  Chief Executive Officer",Energy,Petroleum Refining,19,San Antonio,TX,29.4241219,-98.4936282
91,World Fuel Services,103,"USD33,696 ",24.70%,(USD170.20),-234.50%,"USD5,588 ","USD1,661 ","5,000",Michael J. Kasbar,Chairman &amp;  Chief Executive Officer,Energy,Energy,14,Miami,FL,25.7616798,-80.1917902
92,Exelon,89,"USD33,531 ",6.90%,"USD3,770.00 ",232.50%,"USD116,700 ","USD37,644 ","34,621",Christopher M. Crane,"President, Chief Executive Officer &amp;  Director",Energy,Utilities: Gas and Electric,24,Chicago,IL,41.8781136,-87.6297982
93,Massachusetts Mutual Life Insurance,77,"USD33,495 ",-11.40%,USD513.00 ,-59.70%,"USD288,855 ",-,"11,811",Roger W. Crandall,"Chairman, President &amp;  Chief Executive Officer",Financials,"Insurance: Life, Health (Mutual)",24,Springfield,MA,42.1014831,-72.589811
94,Rite Aid,91,"USD32,845 ",6.90%,USD4.10 ,-97.60%,"USD11,594 ","USD1,793 ","70,430",John T. Standley,Chairman &amp;  Chief Executive Officer,Food &amp;  Drug Stores,Food and Drug Stores,24,Camp Hill,PA,40.2398118,-76.9199742
95,ConocoPhillips,115,"USD32,584 ",33.80%,(USD855.00),-,"USD73,362 ","USD69,641 ","11,400",Ryan M. Lance,Chairman &amp;  Chief Executive Officer,Energy,"Mining, Crude-Oil Production",24,Houston,TX,29.7604267,-95.3698028
96,CHS,93,"USD31,935 ",5.20%,USD127.90 ,-69.90%,"USD15,974 ",-,"11,626",Jay D. Debertin,"President, Chief Executive Officer &amp;  Director","Food, Beverages &amp;  Tobacco",Food Production,19,Inver Grove Heights,MN,44.8480218,-93.0427153
97,3M,94,"USD31,657 ",5.10%,"USD4,858.00 ",-3.80%,"USD37,987 ","USD130,550 ","91,536",Inge G. Thulin,"Chairman, President &amp;  Chief Executive Officer",Industrials,Miscellaneous,24,St Paul,MN,44.9537029,-93.0899578
98,Time Warner,95,"USD31,271 ",6.70%,"USD5,247.00 ",33.60%,"USD69,209 ","USD73,758 ","26,000",John Stankey,Chairman &amp;  Chief Executive Officer,Media,Entertainment,19,New York,NY,40.7127753,-74.0059728
99,General Dynamics,90,"USD30,973 ",-1.20%,"USD2,912.00 ",-1.50%,"USD35,046 ","USD65,845 ","98,600",Phebe N. Novakovic,Chairman &amp;  Chief Executive Officer,Aerospace &amp;  Defense,Aerospace and Defense,24,Falls Church,VA,38.882334,-77.1710914
100,USAA,102,"USD30,016 ",10.60%,"USD2,421.90 ",36.10%,"USD155,391 ",-,"32,705",Stuart Parker,Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),24,San Antonio,TX,29.4241219,-98.4936282
101,Capital One Financial,100,"USD29,999 ",9.00%,"USD1,982.00 ",-47.20%,"USD365,693 ","USD46,584 ","49,300",Richard D. Fairbank,"Chairman, President &amp;  Chief Executive Officer",Financials,Commercial Banks,19,McLean,VA,38.9338676,-77.1772604
102,Deere,105,"USD29,738 ",11.60%,"USD2,159.10 ",41.70%,"USD65,786 ","USD50,291 ","60,476",Samuel R. Allen,"Chairman, President &amp;  Chief Executive Officer",Industrials,Construction and Farm Machinery,24,Moline,IL,41.5067003,-90.5151342
103,INTL FCStone,189,"USD29,424 ",99.40%,USD6.40 ,-88.30%,"USD6,243 ",USD804 ,"1,607",Sean M. O'Connor,"President, Chief Executive Officer &amp;  Director",Financials,Diversified Financials,10,New York,NY,40.7127753,-74.0059728
104,Northwestern Mutual,97,"USD29,331 ",1.80%,"USD1,017.00 ",24.30%,"USD265,049 ",-,"5,437",John E. Schlifske,Chairman &amp;  Chief Executive Officer,Financials,"Insurance: Life, Health (Mutual)",24,Milwaukee,WI,43.0389025,-87.9064736
